Course_id,Course_name,Description
DATA202,se,deed
DATA203,Database Systems,Discover database design and SQL for managing data.
DATA204,Cybersecurity Basics,Learn about security measures to protect data and systems.
DATA205,Cloud Computing,Understand the basics of cloud infrastructure and services.
DATA206,Web Development,"Learn to build modern web applications with HTML, CSS, and JavaScript."
DATA207,Mobile App Development,Explore techniques for creating mobile applications.
DATA208,Game Development,Learn to design and develop video games.
DATA209,big data,Understand tools and techniques for analyzing large datasets.
DATA211,Project Management,Master project planning and execution techniques.
DATA212,Human-Computer Interaction,Explore design principles for user interfaces.
DATA213,Operating Systems,Understand the principles and functions of operating systems.
DATA214,Computer Networks,Learn about network protocols and architectures.
DATA215,Machine Learning,Discover advanced techniques in supervised and unsupervised learning.
DATA216,Quantum Computing,An introduction to the principles of quantum computing.
DATA218,Blockchain Technology,Explore the fundamentals of blockchain and its applications.
DATA219,Robotics,Learn the basics of robot design and programming.
DATA456,data analysis,dlwejf
DATA267,djw,ewef
DATA908,fs,we
DATA793,dw,ew
DATA666,dwe,we
DATA888,dew,we
DATA999,dw,we
dwed,dw,dw
